job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
3d0b9d23c3d5fb94,jobicy,152527,"Senior Director, Community",HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Cybersecurity,Full-Time,,,,USD,2026-09-04T13:34:32+00:00,,Data & AI,https://jobicy.com/jobs/152527-senior-director-community,2026-09-05T17:43:14+00:00
ba8f25c634b6feb7,jobicy,152525,Customer Success Associate (Sustainability),Worldly,"Customer Success Associate (Sustainability) Location: Remote (China, Vietnam, Hong Kong, or Philippines) Reports to: Regional Lead, APAC About Worldly Worldly is the world's most comprehensive impact intelligence platform — delivering real data to businesses on impacts within their supply chain. Worldly is trusted by 40,000 global brands, retailers, and manufacturers to provide the single source&hellip;","China, Hong Kong, Philippines, Vietnam",Any (Global Remote),remote,Global,,Customer Support & Success,Full-Time,,,,USD,2026-09-04T13:33:56+00:00,,Other Tech,https://jobicy.com/jobs/152525-customer-success-associate-sustainability,2026-09-05T17:43:14+00:00
974eb3fdcc0bc7ef,jobicy,152523,Product Security Analyst,HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Cybersecurity,Full-Time,,,,USD,2026-09-04T13:33:21+00:00,,Data & AI,https://jobicy.com/jobs/152523-product-security-analyst,2026-09-05T17:43:14+00:00
23af2952daeab03f,jobicy,152521,Growth Marketer (6-Month Contract),Worldly,"Growth Marketer (6-Month Contract) Location: Remote - US About Worldly Worldly is the world’s most comprehensive impact intelligence platform — delivering real data to businesses on impacts within their supply chain. Worldly is trusted by 40,000 global brands, retailers, and manufacturers to provide the single source of ESG intelligence they need to accelerate business and&hellip;",USA,Any (Global Remote),remote,Global,,Marketing & Sales,Contract,,,,USD,2026-09-04T13:32:45+00:00,,Other Tech,https://jobicy.com/jobs/152521-growth-marketer-6-month-contract,2026-09-05T17:43:14+00:00
2b4a0644ddc61d55,jobicy,152518,Customer Success Manager | Sustainability | Fashion Supply Chains,Worldly,"Customer Success Manager | Sustainability | Fashion Supply Chains Location: Remote - Europe, United Kingdom About Worldly Worldly is the world’s most comprehensive impact intelligence platform — delivering real data to businesses on impacts within their supply chain. Worldly is trusted by 40,000 global brands, retailers, and manufacturers to provide the single source of ESG&hellip;",Europe,Any (Global Remote),remote,Global,,Customer Support & Success,Full-Time,,,,USD,2026-09-04T13:31:48+00:00,,Other Tech,https://jobicy.com/jobs/152518-customer-success-manager-sustainability-fashion-supply-chains,2026-09-05T17:43:14+00:00
2b399851aa643c49,jobicy,152516,Senior GTM Systems & Process Engineer,HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Product & Operations,Full-Time,,,,USD,2026-09-04T13:31:08+00:00,,Data & AI,https://jobicy.com/jobs/152516-senior-gtm-systems-process-engineer,2026-09-05T17:43:14+00:00
45e4850db885d382,jobicy,152514,"Senior Security Engineer, Detection and Response",HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Cybersecurity,Full-Time,,,,USD,2026-09-04T13:30:31+00:00,,Data & AI,https://jobicy.com/jobs/152514-senior-security-engineer-detection-and-response,2026-09-05T17:43:14+00:00
b25ebefa38036791,jobicy,152512,"Senior Manager/Director, Finance",Worldly,"Senior Manager / Director, Finance Location: United States - Remote About Worldly Worldly is the world's most comprehensive impact intelligence platform — delivering real data to businesses on impacts within their supply chain. Worldly is trusted by 40,000 global brands, retailers, and manufacturers to provide the single source of ESG intelligence they need to accelerate&hellip;",USA,Any (Global Remote),remote,Global,,Finance & Accounting,Full-Time,,,,USD,2026-09-04T13:29:50+00:00,,Other Tech,https://jobicy.com/jobs/152512-senior-manager-director-finance,2026-09-05T17:43:14+00:00
f96071ddca231547,jobicy,152509,"Vice President, Go-To-Market Operations",HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Product & Operations,Full-Time,,,,USD,2026-09-04T13:28:54+00:00,,Data & AI,https://jobicy.com/jobs/152509-vice-president-go-to-market-operations,2026-09-05T17:43:14+00:00
1ab06acbb9b7ec1d,jobicy,152508,"Product Marketing Manager, Supplier Network Growth",Worldly,"Product Marketing Manager, Supplier Network Growth Location: Remote - Hong Kong, China, Vietnam, Thailand About Worldly Worldly is the world’s most comprehensive impact intelligence platform — delivering real data to businesses on impacts within their supply chain. Worldly is trusted by 40,000 global brands, retailers, and manufacturers to provide the single source of ESG intelligence&hellip;","China, Hong Kong, Thailand, Vietnam",Any (Global Remote),remote,Global,,Marketing & Sales,Full-Time,,,,USD,2026-09-04T13:28:34+00:00,,Other Tech,https://jobicy.com/jobs/152508-product-marketing-manager-supplier-network-growth,2026-09-05T17:43:14+00:00
b2448630617164b8,jobicy,152504,"Senior Manager, AI Engineering",HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,USD,2026-09-04T13:27:24+00:00,,Data & AI,https://jobicy.com/jobs/152504-senior-manager-ai-engineering,2026-09-05T17:43:14+00:00
